"CUADRO 2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UNAM. Demanda de ingreso a la licenciatura","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000-2021","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014e","2014-2015f","2015-2016g","2016-2017h","2017-2018i","2018-2019j","2019-2020k","2020-2021l","","","","","",""
"Total","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Demanda","127,775","83,013","109,126","140,244","154,107","164,048","172,491","170,867","184,653","197,632","199,949","195,137","226,232","226,769","245,249","244,224","250,590","262,810","278,723","289,881","319,773","300,321","","","","","",""
"Demanda atendida","35,953","32,862","35,415","35,916","34,773","35,945","36,891","38,219","38,666","38,782","41,428","40,749","44,558","43,131","48,939","49,996","50,450","49,258","51,355","52,731","55,541","58,573","","","","","",""
"Pase reglamentado","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Demandaa","23,395","18,585","20,540","20,956","19,223","20,620","21,471","22,839","23,196","23,481","24,599","24,579","25,952","25,410","26,033","26,661","27,646","27,710","28,031","28,724","29,014","33,938","","","","","",""
"Demanda atendidab","23,395","18,585","20,540","20,956","19,223","20,620","21,471","22,839","23,196","23,481","24,599","24,579","25,952","25,410","26,033","26,661","27,646","27,710","28,031","28,724","29,014","33,938","","","","","",""
"Concurso de selección","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Demandac","104,380","64,428","88,586","119,288","134,884","143,428","151,020","148,028","161,457","174,151","175,350","170,558","200,280","201,359","219,216","217,563","222,944","235,100","250,692","261,157","290,759","266,383","","","","","",""
"Demanda atendidad","12,558","14,277","14,875","14,960","15,550","15,325","15,420","15,380","15,470","15,301","16,829","16,170","18,606","17,721","22,906","23,335","22,804","21,548","23,324","24,007","26,527","24,635","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a Aspirantes a pase reglamentado que cumplen requisitos para su ingreso a licenciatura (trámite de pase reglamentado liberado).","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b Aspirantes con pase reglamentado liberado asignados a su plantel-carrera. ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c Aspirantes que se registran al concurso de selección.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d Aspirantes seleccionados y asignados a plantel-carrera. ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e Este ciclo escolar refleja también la demanda y asignación a la modalidad de educación a distancia en el semestre 2014-2.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f Este ciclo escolar refleja también la demanda y asignación a la modalidad de educación a distancia en el semestre 2015-2.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"g Este ciclo escolar refleja también la demanda y asignación a la modalidad de educación a distancia en el semestre 2016-2.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"h Este ciclo escolar refleja también la demanda y asignación a la modalidad de educación a distancia en el semestre 2017-2.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"i Este ciclo escolar refleja también la demanda y asignación a la modalidad de educación a distancia en el semestre 2018-2.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"j Este ciclo escolar refleja también la demanda y asignación a la modalidad de educación a distancia en el semestre 2019-2.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"k Este ciclo escolar refleja también la demanda y asignación a la modalidad de educación a distancia en el semestre 2020-2.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"k Este ciclo escolar refleja también la demanda y asignación a la modalidad de educación a distancia en el semestre 2021-2.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fuente: DGAE, UNAM.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fecha de corte: 10-II-2021","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fecha de última actualización: 10-II-2021","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
